actors,country,description,director,duration,gender,language,nb_episodes,nb_seasons,original_title,public,score,title,year
"Carl Sagan,Jaromír Hanzlík,Jonathan Fahn,Jean Charney,Cecilia White,Bob Hevelone,Bill Grant,Linda Morabito,Victor C. John,Arthur 'Lonne' Lane,Larry Soderblom,Alan Belod,Ronald A. Hilbert,Dana Hlavácová,Josef Vinklár",États-Unis,,"Ann Druyan,Carl Sagan,Steven Soter,Ann Druyan,Carl Sagan,Steven Soter,Ann Druyan,Carl Sagan,Steven Soter",60,Documentaire,Anglais,13,1,,TV-PG,9.3,Cosmos,1980
"Neil deGrasse Tyson,Christopher Emerson,Keythe Farley,Piotr Michael,Enn Reitel,Stoney Emshwiller,André Sogliuzzo,Kirsten Dunst,Amanda Seyfried,Phil LaMarr,Paul Sorvino,Larry Cedar,Christiane Amanpour,Seth MacFarlane,Fred Tatasciore,Martin Jarvis,Glenn Steinbaum,Maria Frucci",États-Unis,,,43,Documentaire,Anglais,13,1,Cosmos: A Spacetime Odyssey,Tous publics,9.2,Cosmos: Une odyssée à travers l'univers,2014
"James Gandolfini,Lorraine Bracco,Edie Falco,Michael Imperioli,Steven Van Zandt,Robert Iler,Tony Sirico,Jamie-Lynn Sigler,Dominic Chianese,Aida Turturro,Steve Schirripa,Drea de Matteo,Dan Grimaldi,Joseph R. Gannascoli,Sharon Angela,John Ventimiglia,Vincent Curatola,Frank Vincent",États-Unis,,"David Chase,David Chase,David Chase",60,"Policier,Drame","Anglais,Italien,Russe",86,6,The Sopranos,Tous publics,9.2,Les Soprano,1999
"Steve Carell,Jenna Fischer,John Krasinski,Rainn Wilson,Leslie David Baker,Brian Baumgartner,Angela Kinsey,Kate Flannery,Phyllis Smith,Creed Bratton,Oscar Nuñez,B.J. Novak,Mindy Kaling,Ed Helms,Paul Lieberstein,Craig Robinson,Ellie Kemper,Zach Woods",États-Unis,,"Greg Daniels,Ricky Gervais,Stephen Merchant,Greg Daniels,Ricky Gervais,Stephen Merchant,Greg Daniels,Ricky Gervais,Stephen Merchant",22,Comédie,"Anglais,Espagnol,Allemand,Français",188,9,,13,9.0,The Office,2005
"Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.,Bob Hastings,Robert Costanzo,Mari Devon,Mark Hamill,Richard Moll,Lloyd Bochner,Arleen Sorkin,John Vernon,Adrienne Barbeau,Brock Peters,Diane Pershing,Ingrid Oliu,Paul Williams,Neil Ross,Aron Kincaid",États-Unis,,"Bob Kane,Eric Radomski,Bruce Timm,Bob Kane,Eric Radomski,Bruce Timm,Bob Kane,Eric Radomski,Bruce Timm",23,"Animation,Action,Aventure",Anglais,85,4,Batman: The Animated Series,Tous publics,9.0,Batman,1992
"David Attenborough,Peter Drost,Roger Munns,Roger Horrocks",Royaume-Uni,,,50,Documentaire,Anglais,7,1,,TV-G,9.3,Blue Planet II,2017
"Dee Bradley Baker,Zach Tyler Eisen,Mae Whitman,Jack De Sena,Dante Basco,Michaela Jill Murphy,Mako,Grey Griffin,André Sogliuzzo,Cricket Leigh,Mark Hamill,Jennie Kwan,Olivia Hack,Greg Baldwin,Jim Meskimen,James Garrett,Jason Isaacs,James Sie",États-Unis,,"Michael Dante DiMartino,Bryan Konietzko,Michael Dante DiMartino,Bryan Konietzko,Michael Dante DiMartino,Bryan Konietzko",23,"Animation,Action,Aventure",Anglais,62,3,Avatar: The Last Airbender,T,9.3,"Avatar, le dernier maître de l'air",2005
"Dominic West,Lance Reddick,Sonja Sohn,Wendell Pierce,John Doman,Deirdre Lovejoy,Seth Gilliam,Domenick Lombardozzi,Clarke Peters,Andre Royo,Michael Kenneth Williams,Jim True-Frost,Frankie Faison,Corey Parker Robinson,Delaney Williams,J.D. Williams,Wood Harris,Idris Elba",États-Unis,,"David Simon,David Simon,David Simon",60,"Policier,Drame,Thriller","Anglais,Grec,Mandarin,Espagnol",60,5,The Wire,Tous publics,9.3,Sur écoute,2002
"Jessie Buckley,Jared Harris,Stellan Skarsgård,Adam Nagaitis,Emily Watson,Paul Ritter,Robert Emms,Sam Troughton,Karl Davies,Michael Socha,Laura Elphinstone,Jan Ricica,Adrian Rawlins,Alan Williams,Con O'Neill,Douggie McMeekin,Nadia Clifford,David Dencik",États-Unis,,"Craig Mazin,Craig Mazin,Craig Mazin",41,"Drame,Historique,Thriller","Anglais,Russe,Ukrainien",5,1,,12,9.3,Chernobyl,2019
"Scott Grimes,Damian Lewis,Ron Livingston,Shane Taylor,Donnie Wahlberg,Peter Youngblood Hills,Matthew Leitch,Nicholas Aaron,Philip Barantini,Michael Cudlitz,Dexter Fletcher,Rick Gomez,James Madio,Ross McCall,Doug Allen,George Calil,Nolan Hemmings,Robin Laing",Royaume-Uni,,,60,"Drame,Historique,Guerre","Anglais,Néerlandais,Français,Allemand,Lituanien",10,1,Band of Brothers,Tous publics,9.4,Frères d'armes,2001
"Sigourney Weaver,David Attenborough,Nikolay Drozdov,Thomas Anguti Johnston,Sanae Ueda,Huw Cordey,Mark Linfield,Doug Allan,Chadden Hunter,Justine Evans,Paul Stewart,Doug Anderson,Jeff Wilson,Michael Kelem,Rick Rosenthal,Simon King,Tom Clarke,Jonathan Keeling",Royaume-Uni,,,49,"Documentaire,Famille",Anglais,11,1,Planet Earth,Tous publics,9.4,Planète Terre,2006
"David Attenborough,Chadden Hunter,Gordon Buchanan,Elizabeth White,Toby Nowlan,Ed Charles,Emma Brennand,Barrie Britton,Fredi Devas,Max Hug Williams,Mark MacEwen,Michael J. Sanderson,Emma Napper,Jerome Poncet,Thomas Crowley,Sandesh Kadur,Rob Drewett,Pete McCowen",Royaume-Uni,,,50,Documentaire,"Anglais,Français",6,1,Planet Earth II,10,9.5,Planet Earth II : Planète Animale,2016
